Date,Holiday,Type,Bank Holiday
2011/04/03,Mothering Sunday (Mothers Day),Notable Date,FALSE
2011/04/21,Maundy Thursday,Religious Date,FALSE
2011/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2011/04/22,Good Friday,Bank Holiday,TRUE
2011/04/23,St George's Day,Religious Date,FALSE
2011/04/24,Easter Sunday,Religious Date,FALSE
2011/04/25,Easter Monday,Bank Holiday,TRUE
2011/04/29,Royal Wedding,Bank Holiday,TRUE
2011/05/02,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2011/05/30,Spring Bank Holiday,Bank Holiday,TRUE
2011/06/14,Trooping the Colour,Notable Date,FALSE
2011/06/19,Father's Day,Notable Date,FALSE
2011/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2011/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2011/08/29,Summer Bank Holiday,Bank Holiday,TRUE
2011/10/30,British Summertime (BST) Ends,Notable Date,FALSE
2011/10/31,Halloween,Notable Date,FALSE
2011/11/01,All Saints Day,Religious Date,FALSE
2011/11/05,Guy Fawkes Night,Notable Date,FALSE
2011/11/13,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2011/11/30,St Andrew's Day,Religious Date,FALSE
2011/12/26,Boxing Day,Bank Holiday,TRUE
2011/12/27,Christmas,Bank Holiday,TRUE
2012/01/01,Hogmanay,Notable Date,FALSE
2012/01/02,New Year's Day,Bank Holiday,TRUE
2012/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2012/01/27,Holocaust Memorial Day,Notable Date,FALSE
2012/02/14,Valentines Day,Notable Date,FALSE
2012/02/21,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2012/02/22,Ash Wednesday,Religious Date,FALSE
2012/03/01,St David's Day,Notable Date,FALSE
2012/03/17,St Patricks Day,Religious Date,FALSE
2012/03/18,Mothering Sunday (Mothers Day),Notable Date,FALSE
2012/03/25,British Summertime (BST) Begins,Notable Date,FALSE
2012/04/01,April Fool's Day,Notable Date,FALSE
