Day,Date,NO_CWV,NO_LB1,NO_LB2,NO_LB3,NO_LB4,NO_NDM_Total,NO_DM,NO_Interruptible,NO_Shrinkage,NO_Total_Throughput,NO_Billing_CV,NE_CWV,NE_LB1,NE_LB2,NE_LB3,NE_LB4,NE_NDM_Total,NE_DM,NE_Interruptible,NE_Shrinkage,NE_Total_Throughput,NE_Billing_CV,LB1,LB2,LB3,LB4,NDM_Total,DM,Interruptible,Shrinkage,Total_Throughput
Tuesday,01-January-08,4.41,84643.1,7382.8,6548.2,4241.4,102815.5,9667.8,14636.7,737.3,127857.3,40.3,5.16,100967.2,10746.4,7804.7,4210.4,123728.7,12108.5,9924.4,932.9,146694.6,40.3,185610.4,18129.2,14352.9,8451.8,226544.2,21776.4,24561.1,1670.2,274551.9
Wednesday,02-January-08,2.34,105310.8,10754.2,9067.6,5474.8,130607.4,12271,17725,931.5,161534.9,40.2,1.54,129501.2,16260.6,11061.4,5824.6,162647.9,13113.7,15841.9,1226.3,192829.8,40.1,234812,27014.8,20129.1,11299.4,293255.2,25384.7,33567,2157.8,354364.6
Thursday,03-January-08,1.05,116157.7,14679.8,12371.8,8005.8,151215.1,13694.6,18787.7,1065.4,184762.9,40.2,0.79,140965.7,21973.8,14775.1,8910.3,186624.9,13276,18276.3,1396.3,219573.6,40.1,257123.3,36653.6,27147,16916.1,337840,26970.6,37064,2461.8,404336.4
Friday,04-January-08,1.4,105711.3,14627,11792.3,7864.7,139995.3,13119.8,17112.1,987.3,171214.5,40.2,2.3,122952.3,20386.9,13633.8,8788.5,165761.5,13215.1,16874.6,1253.4,197104.7,40,228663.6,35013.9,25426.1,16653.1,305756.8,26334.9,33986.7,2240.8,368319.1
Saturday,05-January-08,1.22,100363.5,9293.9,8034.1,5864.1,123555.5,11455.5,16127.6,876.6,152015.2,40,2.91,118475.4,13459.9,9645.3,6012.3,147593,12575.5,14300.2,1116.6,175585.2,40.1,218838.9,22753.8,17679.4,11876.4,271148.5,24031,30427.7,1993.2,327600.4
Sunday,06-January-08,1.98,97434.1,9304.3,8400.1,6233.3,121371.8,12456.4,18357.2,882.7,153068.1,40,2.85,118707,13198.7,9726.4,6625.4,148257.5,12751.3,15302.4,1128.4,177439.6,40,216141.2,22503,18126.4,12858.7,269629.3,25207.7,33659.6,2011.1,330507.7
Monday,07-January-08,1.06,97809.2,14823.3,12653.7,8735.4,134021.5,14370.4,19430.3,973.4,168795.6,40,2.68,117588.4,21228.1,14934.9,10013.6,163765,13463.2,19543.3,1259.3,198030.8,39.9,215397.5,36051.4,27588.6,18749,297786.5,27833.6,38973.6,2232.7,366826.4
Tuesday,08-January-08,2.09,98170.6,14878.6,12694.2,8752.4,134495.8,14128.5,18262.8,967.9,167855.1,40,3.73,113247.6,20378.1,14440.1,9803.2,157868.9,13760.3,17848.1,1212.7,190690,39.8,211418.1,35256.7,27134.3,18555.6,292364.7,27888.8,36111,2180.6,358545.1
Wednesday,09-January-08,1.02,102621.3,15559.6,13190.1,8994.1,140365.1,14340.3,18271.8,1003.3,173980.5,40,3,118905.1,21480.7,15084.4,10077.8,165548,13715.3,18573.3,1266.2,199102.8,39.9,221526.4,37040.2,28274.5,19072,305913.2,28055.6,36845.1,2269.4,373083.2
Thursday,10-January-08,2.36,93947.1,14233.3,12186,8523.9,128890.3,14470.8,18238,937.3,162536.4,40.1,4.32,107715.4,19295.1,13797.4,9527.5,150335.4,13704.6,17722.8,1163.3,182926.1,40,201662.5,33528.4,25983.5,18051.4,279225.7,28175.4,35960.8,2100.6,345462.5
Friday,11-January-08,1.89,103890.9,14376.2,11603.9,7796.8,137667.8,13801.5,17685.1,981.1,170135.5,40.1,2.46,123424.1,20464.7,13668.4,8804.8,166361.9,13590.7,18217.8,1268.3,199438.7,39.9,227314.9,34840.9,25272.2,16601.6,304029.7,27392.3,35902.8,2249.4,369574.2
Saturday,12-January-08,1.55,108251.5,10028.6,8586.7,6160.2,133027.1,12096.7,17039.1,940.5,163103.4,40.1,2.95,124424.3,14183.8,10072.8,6189.4,154870.3,13316.7,14941.7,1172,184300.8,39.9,232675.9,24212.4,18659.5,12349.5,287897.4,25413.5,31980.8,2112.6,347404.2
Sunday,13-January-08,3.52,91837.2,8771.3,7968.5,6030,114607,12295.5,17158.7,835.6,144896.8,40,4.59,108137.8,11926.9,8936.7,6276.5,135277.9,13142.2,15163.1,1046.9,164630.1,40,199975,20698.2,16905.2,12306.5,249884.9,25437.8,32321.7,1882.5,309526.9
Monday,14-January-08,3.24,85384.3,12923.2,11207,8109.4,117624.1,13727,18981.9,871.9,151204.9,40,4.72,101219.3,18017.7,13053.1,9205.6,141495.6,13588.6,18997.1,1114.1,175195.4,40,186603.6,30941,24260.1,17315,259119.7,27315.6,37979,1986.1,326400.3
Tuesday,15-January-08,3.53,83670.4,12661.3,11010.2,8013.2,115355.1,13872.2,18875.6,859,148961.9,40,5.03,98926,17572.2,12790.1,9089.3,138377.6,13472.8,18946.9,1093.1,171890.4,40,182596.4,30233.5,23800.3,17102.5,253732.7,27345,37822.5,1952.1,320852.3
Wednesday,16-January-08,2.47,91262.3,13826.1,11880.5,8415.4,125384.3,14351.9,18645,918.6,159299.8,40,4.39,105668.6,18888.9,13582.4,9424.2,147564.2,13610.7,19522.2,1156.5,181853.6,39.9,196930.9,32715,25463,17839.6,272948.5,27962.6,38167.2,2075.1,341153.3
Thursday,17-January-08,2.42,94709.5,14353.2,12280.9,8598.6,129942.2,14136,18154.2,940.9,163173.3,40,3.95,108762.8,19496.7,13936.3,9573.9,151769.7,13776.1,18658,1178.9,185382.7,40,203472.3,33849.9,26217.2,18172.4,281711.9,27912.1,36812.2,2119.9,348556
Friday,18-January-08,3.8,87763.3,12125.3,9990,7054.1,116932.7,13479.7,17708.8,859.1,148980.3,39.9,5.87,100728.1,16402.4,11406.6,7840.6,136377.6,13320.1,16811.6,1065.7,167575,39.9,188491.4,28527.6,21396.6,14894.7,253310.3,26799.8,34520.4,1924.8,316555.3
Saturday,19-January-08,3.61,85328.6,7902.1,6965.7,5313.5,105510,11897.9,17929.4,785,136122.2,40,6.81,94578.4,10533.6,7889.8,5281.7,118283.5,12971.5,14216.8,931,146402.8,40,179907,18435.7,14855.5,10595.3,223793.5,24869.3,32146.2,1716,282525
Sunday,20-January-08,3.82,86350.7,8247.2,7547.6,5815.8,107961.4,12409.5,18006,802.6,139179.4,40,7.7,89328.5,9674.9,7553.3,5651.3,112208,12865.3,14429.1,892.8,140395.2,40,175679.2,17922.1,15100.8,11467.1,220169.4,25274.8,32435.1,1695.4,279574.7
Monday,21-January-08,2.13,97015.5,14709.5,12546,8720.9,132992,14484.7,20061.5,971.7,168509.9,40.2,6.03,99728.8,17729.7,12901.3,9127.8,139487.7,13582.1,18405.6,1097.4,172572.9,40,196744.3,32439.2,25447.4,17848.7,272479.6,28066.8,38467.2,2069.2,341082.8
Tuesday,22-January-08,1.89,101152,15350.9,13064.4,8937.9,138505.1,14511.8,19111.4,998.3,173126.7,40,5.03,110791,19893.9,14167.1,9670.8,154522.8,13949,18677,1197.8,188346.5,39.8,211943,35244.8,27231.4,18608.6,293027.9,28460.8,37788.4,2196.1,361473.2
Wednesday,23-January-08,4.21,80624.9,12203.1,10691.8,7847.2,111367.1,13340.7,18514.1,830.7,144052.6,40,6.63,89592.3,15753.7,11739.7,8624.4,125710,13394.4,17908.2,1004.9,158017.5,39.6,170217.2,27956.8,22431.5,16471.6,237077.1,26735.2,36422.3,1835.6,302070.1
Thursday,24-January-08,1.98,91483.8,13864.2,11956.7,8420,125724.6,13833.3,20180.1,926.5,160664.5,39.8,4.68,103585.5,18479.7,13333.5,9279.1,144677.8,13752,18874.8,1134.8,178439.4,39.6,195069.3,32343.9,25290.2,17699.1,270402.5,27585.3,39054.8,2061.2,339103.9
Friday,25-January-08,3.63,90627.4,12529.5,10315.1,7180.1,120652,12600,19419.3,885.5,153556.7,39.9,5.5,103804.1,16942.6,11715,7942,140403.8,13419.3,17626.4,1097.3,172546.8,39.6,194431.5,29472,22030.1,15122.2,261055.8,26019.2,37045.7,1982.8,326103.5
Saturday,26-January-08,4.75,84886.5,7863.7,6961.2,5295.5,105006.9,11201.9,18246.3,779.8,135235,39.9,5.77,104373,11725.2,8610.2,5559,130267.3,13055.9,15066.8,1013.7,159403.8,39.5,189259.4,19588.9,15571.4,10854.5,235274.2,24257.9,33313.1,1793.5,294638.7
Sunday,27-January-08,5.2,79040.2,7550,7016.7,5538.8,99145.7,11518.5,17868.4,745.5,129278.1,40,5.88,98442.5,10760.7,8228.4,5931.7,123363.2,12998.4,15639.1,972.8,152973.5,39.7,177482.6,18310.7,15245.1,11470.6,222509,24516.9,33507.5,1718.3,282251.6
Monday,28-January-08,5.09,75590.5,11429.1,10116.4,7577,104713,13304.8,17516.4,786.1,136320.3,40,4.7,94143.6,16590.3,12259.8,8819.7,131813.3,13479.7,19308.4,1053.4,165654.8,39.6,169734.1,28019.4,22376.2,16396.7,236526.3,26784.5,36824.8,1839.5,301975.2
Tuesday,29-January-08,4.5,79220.1,11984.6,10535.8,7727.3,109467.8,13114.2,17421.2,812,140815.3,40.1,5.07,94041.1,16568.3,12257.3,8813.7,131680.3,13441.5,19481.7,1053.5,165657,39.7,173261.2,28552.9,22793.1,16541,241148.2,26555.7,36902.9,1865.5,306472.2
Wednesday,30-January-08,2.71,90158.2,13660.9,11799.6,8304.4,123923,13899.7,18067.6,904.2,156794.5,40,3.5,106410.6,18977.3,13672.9,9419.7,148480.5,13517,19835.5,1163.7,182996.7,39.7,196568.8,32638.2,25472.5,17724,272403.5,27416.7,37903.1,2067.9,339791.2
Thursday,31-January-08,0.34,102656.4,15582.4,13244.8,8967.1,140450.6,14256.9,18151.3,1002.6,173861.5,40,2.59,120676.6,21756.7,15304,10119.9,167857.2,13597.5,19614.1,1286.8,202355.8,39.7,223333,37339.1,28548.8,19087,308307.9,27854.4,37765.5,2289.4,376217.2
Friday,01-February-08,0.33,118334,16399.9,13093.6,8389.1,156216.6,13341.5,17886.8,1087.2,188532,39.9,1.84,134701,22401.9,14824.6,9121.7,181049.2,13723,19051.2,1368.5,215191.9,39.8,253035,38801.9,27918.2,17510.8,337265.8,27064.4,36938,2455.7,403723.9
Saturday,02-February-08,0.52,116106.3,10762.3,9174,6356.7,142399.3,11894.1,15840.9,986.8,171121.1,40,1.87,138926.2,15903.8,11153.7,6500.1,172483.7,13436.2,16182.5,1293.5,203395.8,39.8,255032.4,26666.1,20327.7,12856.8,314883,25330.3,32023.4,2280.2,374516.9
Sunday,03-February-08,1.85,105559.6,10089.4,9046.8,6500.4,131196.2,12259.5,15992.8,924.8,160373.2,40,2.17,126404.4,14068.4,10301.7,6750.3,157524.7,13014.7,16355.3,1196.1,188090.8,39.8,231964,24157.8,19348.4,13250.6,288720.9,25274.2,32348.1,2120.9,348464.1
Monday,04-February-08,2.23,93393.5,14160.8,12176,8475.6,128205.8,14412.4,17178.7,926.8,160723.8,40.1,2.92,108316.4,19341.7,13888.4,9406.3,150952.9,13445.9,20106.6,1180.8,185686.1,39.8,201709.8,33502.5,26064.4,17881.9,279158.7,27858.3,37285.3,2107.7,346409.9
Tuesday,05-February-08,2.55,88920.4,13474.2,11663.3,8273.4,122331.2,14219.8,15384.7,881.2,152816.9,40,4.56,99908,17703.7,12908.8,8997.3,139517.9,13522.3,19689.8,1105.5,173835.4,39.8,188828.4,31177.9,24572.1,17270.7,261849.1,27742,35074.5,1986.7,326652.3
Wednesday,06-February-08,2.58,88361.4,13388.6,11597.4,8240.7,121588.2,14340.7,15250.7,876.8,152056.4,39.9,4.41,101448.3,18004.6,13104.4,9175.3,141732.6,13612.2,20010.5,1122.3,176477.5,39.8,189809.7,31393.2,24701.9,17416,263320.8,27952.9,35261.2,1999.1,328534
Thursday,07-February-08,4.93,82353,12446.2,10902.6,7923.2,113625,13548,12752.4,811.6,140736.9,39.9,5.65,89040,15577.6,11680.2,8560.3,124858.1,13627.1,18537.3,1004.9,158027.5,39.9,171393,28023.8,22582.9,16483.5,238483.1,27175.1,31289.8,1816.5,298764.4
Friday,08-February-08,5.6,75483.5,10394,8803.4,6481.7,101162.6,13195.8,12098.6,733.5,127190.5,39.9,5.58,88326.2,14118.6,10154.4,7282.5,119881.6,13671.2,18061.1,970.3,152584.2,39.9,163809.6,24512.6,18957.7,13764.2,221044.2,26867,30159.7,1703.8,279774.7
Saturday,09-February-08,5.86,74991.1,6932,6264.3,4943.8,93131.2,11344.2,12205.3,676.7,117357.5,39.9,5.64,92534.1,10239.1,7734.2,5196.3,115703.7,13602.9,15309.7,925.5,145541.9,39.8,167525.2,17171.1,13998.5,10140.2,208835,24947.1,27515,1602.3,262899.4
Sunday,10-February-08,4.57,84547.4,8062.5,7445.2,5739.7,105794.8,12599.8,11964.4,756.1,131115.1,40,5.12,99682.2,10868.3,8316.7,5968.6,124835.9,13214.1,16483.4,989,155522.4,39.8,184229.5,18930.8,15761.9,11708.4,230630.7,25813.9,28447.8,1745.1,286637.5
Monday,11-February-08,3.83,85339,12896.6,11250.7,8058,117544.2,14388.2,12330.8,836.7,145100,40.1,4.76,106987.9,19060.3,13726.4,9432.7,149207.2,13790.1,20307.3,1173.2,184477.8,40,192326.8,31956.9,24977,17490.7,266751.4,28178.3,32638.1,2009.9,329577.7
Tuesday,12-February-08,3.77,84984.2,12842.2,11209.1,8038.5,117073.9,14305,12829.1,836.4,145044.4,40.1,5.33,102794.3,18235.4,13244.8,9154,143428.6,13861.9,20101,1135.3,178526.8,40,187778.5,31077.6,24453.9,17192.5,260502.5,28166.9,32930.1,1971.7,323571.2
Wednesday,13-February-08,3.73,83892.1,12684.6,11074.8,7980.2,115631.7,14167.5,13207.9,829.4,143836.6,40,4.07,100046.4,17700.2,12939.1,9022.6,139708.3,14155.6,20551.7,1116.3,175531.9,39.9,183938.5,30384.8,24013.9,17002.9,255340,28323.1,33759.6,1945.7,319368.4
Thursday,14-February-08,3.54,86428.1,13070.8,11367.2,8113,118979.1,14073.7,13611.8,850.7,147515.2,40,2.99,109071.9,19453.4,13975.5,9534,152034.8,13665.2,20344.8,1190.7,187235.4,39.9,195500,32524.1,25342.7,17647.1,271013.9,27738.8,33956.5,2041.3,334750.6
Friday,15-February-08,3.11,94550.6,13055.1,10706.2,7327.6,125639.4,14082,14753,896,155370.3,40,2.03,119117.1,19588.3,13261.5,8566.4,160533.3,13369.2,19654.3,1238.8,194795.6,39.9,213667.7,32643.4,23967.6,15894,286172.7,27451.2,34407.3,2134.7,350165.9
Saturday,16-February-08,2.39,102978.2,9528.1,8241,5913.6,126660.9,12506.2,14452.8,891,154510.9,39.8,1.44,131342.4,14954.1,10597.4,6355.4,163249.4,12960.6,15599.8,1227.6,193037.4,39.7,234320.6,24482.2,18838.5,12269,289910.3,25466.9,30052.6,2118.6,347548.3
Sunday,17-February-08,1.45,107541.6,10263.1,9196.8,6589.4,133590.9,12743.4,15443.7,938.3,162716.3,39.9,1.39,135551.2,15137.4,10980.4,7125,168793.9,13130.2,16439.1,1269.5,199632.7,39.7,243092.8,25400.5,20177.1,13714.4,302384.8,25873.6,31882.8,2207.8,362349
Monday,18-February-08,1.23,102312.9,15495.8,13199.8,8957,139965.5,14670,15284.9,985.5,170906,39.9,0.86,130554.7,23624.8,16434.4,10575.2,181189.1,12882.8,19956.7,1369.8,215398.4,39.7,232867.6,39120.6,29634.2,19532.2,321154.6,27552.8,35241.7,2355.3,386304.4
Tuesday,19-February-08,1.14,111765.2,16941.8,14292,9524.1,152523.1,14454.8,14735.6,1053.9,182767.4,40,-0.3,147697.1,26959.9,18407,11355.6,204419.6,13098.2,22089.4,1533.5,241140.7,39.8,259462.3,43901.7,32699,20879.6,356942.7,27553,36825,2587.4,423908.1
Wednesday,20-February-08,1.19,108118.8,16384.9,13870.5,9328.3,147702.5,13168.6,14116.3,1014.9,176002.3,40,0.21,135867.8,24657.8,17054.2,10789.3,188369.1,13306.3,21321.7,1427.2,224424.2,39.8,243986.6,41042.7,30924.7,20117.5,336071.6,26474.9,35438,2442.1,400426.6
Thursday,21-February-08,3.53,87599,13246.4,11497.7,8225.9,120569,13972.7,15056.4,867.7,150465.8,40.1,3.58,110798.5,19782.2,14181.6,9573.5,154335.8,13323.9,19725,1199.3,188584,40,198397.5,33028.6,25679.3,17799.4,274904.7,27296.7,34781.5,2066.9,339049.8
Friday,22-February-08,3.87,82959.5,11429.9,9542.5,6837.2,110769.1,13479.9,15586.3,811,140646.4,40.1,5.78,99339.1,16057.4,11278.6,7701.1,134376.2,13463.6,19687.8,1072.2,168599.8,40,182298.6,27487.3,20821.1,14538.3,245145.3,26943.6,35274.1,1883.2,309246.2
Saturday,23-February-08,5.7,83272.5,7695.4,6844.6,5250.5,103063,10934.9,14096.4,742.9,128837.2,40.2,6.54,98329.2,10927.7,8173.3,5341.9,122772.2,13188.8,15627.5,970.2,152558.6,40,181601.7,18623.1,15017.9,10592.5,225835.1,24123.7,29723.8,1713.1,281395.8
Sunday,24-February-08,4.71,80529.3,7674.6,7128.7,5603.5,100936,11444.5,14319.5,734.9,127434.8,40.1,5.93,100949.2,11003.2,8422.1,5973.1,126347.5,13015.6,17360.5,1003,157726.7,40,181478.4,18677.7,15550.8,11576.6,227283.5,24460.1,31680,1737.9,285161.5
Monday,25-February-08,4.19,90153.8,13627.1,11795,8337.2,123913.1,13529.7,15021,884.3,153348,40,5.21,103660.8,18390.3,13366.8,9226,144643.9,13595.8,19679.6,1138.7,179058,39.8,193814.6,32017.4,25161.8,17563.1,268556.9,27125.5,34700.6,2023,332406
Tuesday,26-February-08,3.34,81005,12229.5,10737.1,7847.4,111819,13752.8,14376,811.7,140759.5,39.9,5.71,98059.6,17302.4,12724.2,8952.8,137039,13667.7,19821.8,1091.4,171619.9,39.8,179064.6,29531.9,23461.4,16800.1,248858,27420.5,34197.8,1903.1,312379.4
Wednesday,27-February-08,4.22,79596.3,12013.4,10574.3,7772.2,109956.3,14021.9,12586.1,792.1,137356.3,40.1,5.66,96281.5,16958.4,12519,8862.7,134621.6,13765.9,20449.6,1080.6,169917.7,39.9,175877.8,28971.8,23093.4,16634.9,244577.9,27787.8,33035.7,1872.6,307274
Thursday,28-February-08,4.33,77194.3,11645.1,10296.9,7643.9,106780.2,13949.6,12883.4,775,134388.1,40.1,5.52,97606.5,17220.5,12671.4,8928,136426.4,13807.3,18160.8,1077.7,169472.1,40,174800.8,28865.7,22968.3,16571.9,243206.6,27756.8,31044.1,1852.7,303860.3
Friday,29-February-08,4.06,88839.5,12243.9,10128.5,7080.8,118292.8,13544,14088.6,846.4,146771.8,40.2,4.93,109085.6,17796.9,12255.9,8101,147239.4,13997.6,17817,1145.9,180199.9,40,197925.1,30040.8,22384.4,15181.8,265532.1,27541.6,31905.6,1992.3,326971.6
Saturday,01-March-08,4.07,82926.7,7659.9,6813.6,5211.6,102611.8,11881.7,13312.5,741.3,128547.3,40,5.88,103192,11525,8525.4,5473.9,128716.2,13435.3,17481.1,1021.6,160654.3,40,186118.7,19184.9,15339,10685.5,231328.1,25317.1,30793.6,1762.9,289201.7
Sunday,02-March-08,3.54,82401.3,7849.8,7266.2,5646.8,103164.1,12119.4,13712.9,748.2,129744.6,40,5.82,103055.3,11258.8,8573.1,6029.2,128916.4,13443.5,16724.4,1018.1,160102.4,39.8,185456.6,19108.6,15839.2,11676,232080.5,25562.8,30437.3,1766.3,289846.9
Monday,03-March-08,2.52,90172,13625.6,11790.1,8320.3,123908.1,14682.5,15012.6,890.9,154494.1,39.9,4.41,111961.4,20011.8,14302.2,9608.3,155883.7,14094.8,21330.7,1224.4,192533.6,39.8,202133.4,33637.4,26092.4,17928.6,279791.8,28777.3,36343.3,2115.3,347027.7
Tuesday,04-March-08,2.42,94308.6,14255.6,12285.7,8538.3,129388.2,14673.2,15971.7,928.2,160961.3,39.9,3.69,113828,20375.3,14519.9,9695.8,158419.1,14314.9,21808.8,1245.1,195787.8,39.7,208136.6,34630.8,26805.7,18234.2,287807.3,28988.1,37780.5,2173.3,356749.1
Wednesday,05-March-08,3.09,91725.3,13859.6,11985.7,8399.2,125969.9,14112,14743.3,898,155723.2,40,4.04,112686.5,20159.2,14387.5,9637.6,156870.8,14063.6,20711.9,1226.5,192872.9,39.8,204411.9,34018.8,26373.2,18036.8,282840.7,28175.7,35455.3,2124.5,348596.1
Thursday,06-March-08,4.93,76132.6,11480.3,10180.6,7565,105358.5,13503.2,13813.3,769.5,133444.4,39.9,5.73,95028,16730.1,12363.8,8793.4,132915.4,13957.5,19708.2,1066.1,167647.2,39.8,171160.6,28210.4,22544.4,16358.5,238273.9,27460.7,33521.4,1835.6,301091.7
Friday,07-March-08,4.38,76203.1,10479.5,8869.3,6492.6,102044.5,13837.7,14844.5,758.2,131484.9,40,5.35,94888.8,15273.2,10818.7,7504.6,128485.3,13877.8,18824.4,1031.6,162219.1,39.9,171091.9,25752.7,19688,13997.2,230529.7,27715.5,33668.9,1789.8,293704
Saturday,08-March-08,5.05,80004.9,7386.6,6615.5,5105.8,99112.7,11778,14126.5,725.1,125742.3,40,5.97,99343.2,11057.6,8237.7,5361.9,124000.4,13546.4,15702,980.8,154229.6,40,179348,18444.2,14853.2,10467.7,223113.1,25324.4,29828.5,1705.9,279971.9
Sunday,09-March-08,4.34,81259.4,7737.9,7188.4,5600.7,101786.4,12502.4,13894,743.5,128926.3,40,5.2,95918.9,10409.5,8039.4,5802.3,120170.1,13408.2,17076.5,964.2,151619,39.9,177178.3,18147.4,15227.8,11403,221956.5,25910.7,30970.5,1707.7,280545.3
Monday,10-March-08,4.25,86016.6,12980.5,11306.9,8090.7,118394.7,14097.3,13978.4,849.5,147319.9,40.1,4.82,103053.4,18276.1,13292.7,9178.9,143801,13516.2,20629.7,1138.9,179085.7,40,189070,31256.6,24599.5,17269.5,262195.7,27613.5,34608.1,1988.4,326405.6
Tuesday,11-March-08,3.69,81664.8,12316.6,10802.9,7854.9,112639.2,13646.1,13033.6,808.1,140127,40,5.35,100271.8,17734.7,12974,8990.5,139971,13726.7,20313.4,1113.7,175124.8,40,181936.7,30051.3,23776.9,16845.4,252610.2,27372.8,33347,1921.7,315251.8
Wednesday,12-March-08,3.24,85673.3,12927.9,11277,8013.8,117892,14003.4,13636.2,844.1,146375.7,40,4.85,109458.5,19515.3,14032.7,9436.5,152443,13758.1,20166.2,1192.8,187560.2,39.9,195131.8,32443.2,25309.7,17450.3,270335,27761.5,33802.5,2036.8,333935.8
Thursday,13-March-08,3.97,83268.1,12557.7,10983.8,7887.7,114697.3,13912.6,14588.6,830.6,144029.1,40,5.85,99229.8,17530,12857.7,8936.9,138554.4,13771.7,20452.5,1105.8,173884.3,39.9,182497.8,30087.7,23841.6,16824.6,253251.7,27684.3,35041.1,1936.3,317913.4
Friday,14-March-08,5.33,73619.6,10113.1,8586,6329.7,98648.5,13015,13676.7,727,126067.1,40.1,6.7,90582.9,14499.3,10388.7,7272.8,122743.7,13688.4,19661.9,999,157093,40,164202.5,24612.4,18974.6,13602.6,221392.2,26703.4,33338.6,1726,283160.1
Saturday,15-March-08,4.82,81258,7498.5,6686.1,5109.9,100552.5,12081.2,12780.2,727.4,126141.3,39.9,6.96,96750.1,10734.4,8051.1,5254.1,120789.6,13646,17597.5,973,153006.2,40,178008.1,18232.9,14737.2,10363.9,221342.1,25727.2,30377.7,1700.4,279147.5
Sunday,16-March-08,4.45,84956,8086.6,7451,5695.6,106189.1,12238,12674.8,760.4,131862.3,40,5.11,106748.3,11691.3,8847,6117.3,133403.8,13688.7,18559.4,1060.2,166712.2,39.8,191704.3,19777.9,16298,11812.8,239592.9,25926.8,31234.2,1820.6,298574.5
Monday,17-March-08,4.08,89169.6,13453.6,11643.4,8190.5,122457,13562.6,13439.8,866.9,150326.3,40.1,4.97,106590.3,18954.5,13703,9291.9,148539.7,14230.3,21399.8,1178.7,185348.5,39.9,195759.9,32408.1,25346.4,17482.3,270996.7,27792.9,34839.6,2045.6,335674.8
Tuesday,18-March-08,3.77,90133.7,13599.1,11753.9,8241,123727.7,13777.5,13338.6,874.9,151718.7,40,4.66,108163.2,19268.6,13874.2,9368,150674,14634.3,21248,1194,187750.3,39.9,198296.9,32867.7,25628.1,17609,274401.7,28411.9,34586.6,2068.9,339469
Wednesday,19-March-08,4.15,85648.2,12266.3,10792.9,7663.4,116370.9,12598.5,12543.4,820.8,142333.5,39.9,4.63,103666.6,17831.1,12892.3,8368,142758,14249.1,21250.7,1140.9,179398.7,39.9,189314.8,30097.5,23685.2,16031.4,259128.9,26847.6,33794.1,1961.6,321732.2
Thursday,20-March-08,4.06,85789.6,12285.4,10810.2,7666.6,116551.8,12905.9,12958.8,826,143242.6,39.9,5.05,107211.9,18497,13278.4,8560.1,147547.3,14144,18344.7,1152.2,181188.3,39.8,193001.4,30782.3,24088.6,16226.7,264099.1,27050,31303.5,1978.2,324430.8
Friday,21-March-08,2.26,100750.6,11750.8,9404.8,6222,128128.2,11342.5,12883.9,883.7,153238.2,40,3.86,114626.9,17343.9,11324.3,6097.6,149392.6,14055.7,17769.5,1159.8,182377.6,39.9,215377.5,29094.7,20729.1,12319.6,277520.8,25398.2,30653.3,2043.5,335615.8
Saturday,22-March-08,2.75,103075,9576.7,7823.6,5541.2,126016.6,11084.9,12905.4,870,150876.9,40,2.63,123948,14011.6,9734.3,5182.8,152876.7,13830.7,17319.5,1177.8,185204.8,39.8,227023.1,23588.4,17557.8,10724,278893.3,24915.6,30225,2047.8,336081.7
Sunday,23-March-08,2.56,100395.9,9151.2,7512.7,5377.9,122437.8,11430.8,12756.5,850.4,147475.6,40,2.94,120381.4,13431.1,9385.1,5045.6,148243.2,13710.5,17395.7,1147.8,180497.3,39.9,220777.3,22582.3,16897.8,10423.5,270681,25141.4,30152.3,1998.3,327972.9
Monday,24-March-08,1.65,103028,12331,9824.7,6426.7,131610.3,11410.3,12755,903.5,156679.1,40,3.16,117557.9,18018.2,11694.4,6228.4,153498.9,13510.5,18319.7,1186.1,186515.2,39.9,220585.8,30349.2,21519.1,12655.1,285109.3,24920.8,31074.7,2089.6,343194.3
Tuesday,25-March-08,2.85,99086.5,14206.1,12268.8,8321,133882.3,13395,14626.3,939,162842.7,40,3.61,113724.7,19723.5,13992.6,8844.1,156284.8,13634,20018.4,1215.6,191152.8,39.9,212811.1,33929.5,26261.4,17165.1,290167.2,27029,34644.7,2154.6,353995.5
Wednesday,26-March-08,3.41,92383.8,13233.6,11529.2,7981.4,125127.9,14164.5,12685,881.5,152858.9,39.9,4.53,110608.5,19145.3,13639.7,8692,152085.6,13805,20634.7,1193.8,187719,39.9,202992.3,32378.9,25168.9,16673.4,277213.5,27969.5,33319.7,2075.2,340577.9
Thursday,27-March-08,4.38,84524.9,12095.7,10658.4,7575.1,114854.1,13824.6,12389.1,818.2,141885.9,40,5.4,97730,16725.2,12220.8,8101,134776.9,13781.4,19520,1075.7,169154.1,40,182254.9,28820.9,22879.2,15676,249631,27606,31909.1,1893.9,311040
Friday,28-March-08,4.39,86438.2,12051.5,10622.5,7540.9,116653.1,13641.8,11789.6,824.1,142908.6,40,5.33,102916.6,17510.1,12680.3,8263.6,141370.6,14275.4,19282,1119.5,176047.5,39.9,189354.8,29561.6,23302.8,15804.5,258023.7,27917.2,31071.6,1943.6,318956.1
Saturday,29-March-08,5.3,80067.8,7377.1,6596.7,5060.8,99102.5,10972.1,10796.4,701.1,121572,40,6.14,97504.8,10821.3,8114.5,5292.1,121732.7,12607.4,16706.8,966.7,152013.6,39.9,177572.6,18198.4,14711.3,10352.9,220835.2,23579.5,27503.2,1667.8,273585.6
